Year,Month,Day,Hour,PM2.5
2017,11,7,12,64.51
2017,11,7,13,69.95
2017,11,7,14,92.79
2017,11,7,15,109.66
2017,11,7,16,116.5
2017,11,7,17,124.21
2017,11,7,18,123.45
2017,11,7,19,120.31
2017,11,7,20,108.75
2017,11,7,21,97.8
2017,11,7,22,88.1
2017,11,7,23,81.64
2017,11,8,0,83.82
2017,11,8,1,85.14
2017,11,8,2,90.41
2017,11,8,3,105.33
2017,11,8,4,108.1
2017,11,8,5,114.92
2017,11,8,6,112.2
2017,11,8,7,114.65
2017,11,8,8,107.47
2017,11,8,9,92.59
2017,11,8,10,90.64
2017,11,8,11,84.32
2017,11,8,12,88.05
2017,11,8,14,116.13
2017,11,8,15,127.02
2017,11,8,16,133.68
2017,11,8,17,139.93
2017,11,8,18,144.17
2017,11,8,19,148.35
2017,11,8,20,127.28
2017,11,8,21,121.23
2017,11,8,22,110.23
2017,11,8,23,106.87
2017,11,9,0,94.48
2017,11,9,1,106.37
2017,11,9,2,107.4
2017,11,9,3,113.35
2017,11,9,4,117.2
2017,11,9,5,128.94
2017,11,9,6,120.38
2017,11,9,7,116.13
2017,11,9,8,109.22
2017,11,9,9,98.69
2017,11,9,10,89.56
2017,11,9,11,89.11
2017,11,9,12,88.72
2017,11,9,13,96.58
2017,11,9,14,114.2
2017,11,9,15,129.62
2017,11,9,16,138.29
2017,11,9,17,139
2017,11,9,18,140.76
2017,11,9,19,138.09
2017,11,9,20,128.08
2017,11,9,21,119.64
2017,11,9,22,118.42
2017,11,9,23,115.75
2017,11,10,0,117.98
2017,11,10,1,119.77
2017,11,10,2,122.38
2017,11,10,3,124.24
2017,11,10,4,127.7
2017,11,10,5,131.93
2017,11,10,6,126.64
2017,11,10,7,115.03
2017,11,10,8,106.94
2017,11,10,9,96.86
2017,11,10,11,78.79
2017,11,10,12,85.95
2017,11,10,13,90.63
2017,11,10,14,110.53
2017,11,10,15,123.91
2017,11,10,16,135.9
2017,11,10,17,147.86
2017,11,10,18,151.05
2017,11,10,19,142.58
2017,11,10,20,136.63
2017,11,10,22,120.57
2017,11,10,23,113.02
2017,11,11,0,112.61
2017,11,11,1,109.12
2017,11,11,2,112.92
2017,11,11,3,114.77
2017,11,11,4,124.24
2017,11,11,5,123.66
2017,11,11,6,119.88
2017,11,11,7,114.5
2017,11,11,8,102.28
2017,11,11,9,83.24
2017,11,11,10,74.97
2017,11,11,11,73.27
2017,11,11,12,73.56
2017,11,11,13,82.42
2017,11,11,14,100.85
2017,11,11,15,114.28
2017,11,11,17,133.14
2017,11,11,18,135.18
2017,11,11,19,133.42
2017,11,11,21,125.85
2017,11,11,22,121.81
2017,11,11,23,117.91
2017,11,12,0,116.25
2017,11,12,1,117.44
2017,11,12,2,118.35
2017,11,12,3,120.25
2017,11,12,4,128.12
2017,11,12,5,123.12
2017,11,12,6,117.91
2017,11,12,7,108.05
2017,11,12,8,97.32
2017,11,12,9,88.29
2017,11,12,10,82.04
2017,11,12,11,78.16
2017,11,12,16,138.12
2017,11,12,17,145.43
2017,11,12,18,146.52
2017,11,12,19,153.42
2017,11,12,20,139.98
2017,11,12,21,133.45
2017,11,12,22,129.97
2017,11,12,23,124.89
2017,11,13,0,117.34
2017,11,13,1,113.29
2017,11,13,2,115.26
2017,11,13,3,116.68
2017,11,13,4,125.93
2017,11,13,5,131.38
2017,11,13,6,122.79
2017,11,13,7,110.68
2017,11,13,8,106.21
2017,11,13,9,95.84
2017,11,13,10,90.59
2017,11,13,11,91.14
2017,11,13,12,94.93
2017,11,13,13,97.58
2017,11,13,14,114.48
2017,11,13,15,137.95
2017,11,13,16,140.47
2017,11,13,17,145.67
2017,11,13,18,141.88
2017,11,13,19,152.48
2017,11,13,20,125.24
2017,11,13,21,117.44
2017,11,13,22,103.19
2017,11,13,23,103.08
2017,11,14,0,104.71
2017,11,14,1,104.28
2017,11,14,2,104.34
2017,11,14,3,115.3
2017,11,14,4,119.53
2017,11,14,5,107.97
2017,11,14,6,101.77
2017,11,14,7,89.68
2017,11,14,8,91.11
2017,11,14,9,79.69
2017,11,14,10,66.83
2017,11,14,11,69.19
2017,11,14,12,66.23
2017,11,14,13,66.66
2017,11,14,14,67.57
2017,11,14,15,76.74
2017,11,15,5,99.13
2017,11,15,6,94.03
2017,11,15,7,79.33
2017,11,15,8,66.51
2017,11,15,10,56.48
2017,11,15,11,56.37
2017,11,15,13,61.74
2017,11,15,14,68.89
2017,11,15,15,86.45
2017,11,15,16,93.67
2017,11,15,17,95.02
2017,11,15,18,92.58
2017,11,15,19,89.79
2017,11,15,20,79.6
2017,11,15,21,76.07
2017,11,15,22,71.59
2017,11,15,23,71.17
2017,11,16,0,68.78
2017,11,16,1,66.56
2017,11,16,2,73.34
2017,11,16,3,77.89
2017,11,16,4,86.32
2017,11,16,5,84.02
2017,11,16,6,82.15
2017,11,16,7,76.76
2017,11,16,8,69.41
2017,11,16,9,63.41
2017,11,16,10,57.08
2017,11,16,11,55.95
2017,11,16,12,57.94
2017,11,16,13,67.75
2017,11,16,14,75.18
2017,11,16,15,82.98
2017,11,16,16,87.49
2017,11,16,17,86.87
2017,11,16,18,86.09
2017,11,16,19,81.39
2017,11,16,20,72.96
2017,11,16,21,72.18
2017,11,16,22,72.93
2017,11,16,23,75.28
2017,11,17,0,75.25
2017,11,17,1,74.96
2017,11,17,2,78.34
2017,11,17,3,86.79
2017,11,17,4,82.48
2017,11,17,5,77.47
2017,11,17,6,73.54
2017,11,17,8,58.28
2017,11,17,9,58.7
2017,11,17,10,58.45
2017,11,17,11,56.19
2017,11,17,12,54.87
2017,11,17,13,60.8
2017,11,17,14,73.62
2017,11,17,15,77.91
2017,11,17,18,84.26
2017,11,17,20,73.79
2017,11,17,23,69.13
2017,11,18,0,69.28
2017,11,18,2,70.48
2017,11,18,7,71.19
2017,11,18,8,64.14
2017,11,18,9,62.77
2017,11,18,10,58.78
2017,11,18,11,59.61
2017,11,18,12,62.42
2017,11,18,13,69.86
2017,11,18,14,84.33
2017,11,18,15,93.72
2017,11,18,16,92.66
2017,11,18,17,89.34
2017,11,18,18,87.21
2017,11,18,19,87.01
2017,11,18,20,81.57
2017,11,18,22,77.17
2017,11,18,23,77.33
2017,11,19,0,75.65
2017,11,19,4,80.47
2017,11,19,5,81
2017,11,19,6,75.51
2017,11,19,7,70.66
2017,11,19,8,70
2017,11,19,9,67.65
2017,11,19,10,61.8
2017,11,19,11,61.05
2017,11,19,12,59.71
2017,11,19,13,68.26
2017,11,19,14,80.31
2017,11,19,15,90.17
2017,11,19,17,92.86
2017,11,19,18,95.28
2017,11,19,19,95.08
2017,11,20,0,74.28
2017,11,20,1,74.49
2017,11,20,2,74.45
2017,11,20,3,77.17
2017,11,20,9,61.98
2017,11,20,10,59.46
2017,11,20,11,48.98
2017,11,20,12,52.8
2017,11,20,13,59.47
2017,11,20,14,75.4
2017,11,20,15,79.12
2017,11,20,16,84.48
2017,11,20,17,89.4
2017,11,20,19,84.11
2017,11,20,20,74.85
2017,11,20,21,72.16
2017,11,20,22,70.85
2017,11,20,23,66.89
2017,11,21,0,67.13
2017,11,21,1,68.33
2017,11,21,2,71.4
2017,11,21,3,79.1
2017,11,21,4,87.53
2017,11,21,5,87.13
2017,11,21,6,79.39
2017,11,21,7,72.88
2017,11,21,8,66.58
2017,11,21,9,60.83
2017,11,21,10,57.46
2017,11,21,11,69.81
2017,11,21,12,56.29
2017,11,21,13,61.4
2017,11,21,14,74.03
2017,11,21,15,86.95
2017,11,21,16,99.18
2017,11,21,17,101.88
2017,11,21,18,102.7
2017,11,21,19,101.96
2017,11,21,20,97.12
2017,11,21,21,95.19
2017,11,21,22,86.94
2017,11,21,23,89.56
2017,11,22,0,87.22
2017,11,22,1,84.72
2017,11,22,2,88.94
2017,11,22,3,93.53
2017,11,22,4,96.76
2017,11,22,5,103.56
2017,11,22,6,102.32
2017,11,22,7,98.49
2017,11,22,8,98.76
2017,11,22,9,93.33
2017,11,23,19,115.58
2017,11,24,0,84.5
2017,11,24,1,84.56
2017,11,24,2,89.57
2017,11,24,3,98.19
2017,11,24,4,112.82
2017,11,24,5,113.95
2017,11,24,6,101.69
2017,11,24,7,92.45
2017,11,24,8,81.87
2017,11,24,9,71.62
2017,11,24,10,64.91
2017,11,24,11,63.88
2017,11,24,12,63.77
2017,11,24,13,72.17
2017,11,24,14,90.92
2017,11,24,15,119.42
2017,11,24,16,133.28
2017,11,24,17,134.03
2017,11,24,18,132.41
2017,11,24,19,129.72
2017,11,24,20,118.05
2017,11,24,21,110.89
2017,11,24,22,102.82
2017,11,24,23,98.74
2017,11,25,0,97.6
2017,11,25,1,99.56
2017,11,25,2,100.37
2017,11,25,3,105.26
2017,11,25,4,119.04
2017,11,25,5,118.55
2017,11,25,6,108.83
2017,11,25,7,91.68
2017,11,25,8,80.21
2017,11,25,10,68.03
2017,11,25,11,62.68
2017,11,25,12,68.73
2017,11,25,13,79.77
2017,11,25,14,97
2017,11,25,16,134.48
2017,11,25,17,144.05
2017,11,25,18,140.55
2017,11,25,19,139.48
2017,11,25,20,131.29
2017,11,25,21,123.36
2017,11,25,22,114.81
2017,11,25,23,105.59
2017,11,26,0,105.94
2017,11,26,1,104.58
2017,11,26,2,104.5
2017,11,26,3,115.64
2017,11,26,4,121.76
2017,11,26,5,113.76
2017,11,26,6,110.03
2017,11,26,7,103.83
2017,11,26,8,94.15
2017,11,26,9,75.74
2017,11,26,10,69.5
2017,11,26,11,65.52
2017,11,26,12,64.68
2017,11,26,13,73.34
2017,11,26,14,95.86
2017,11,26,15,117.45
2017,11,26,16,136.75
2017,11,26,17,140.07
2017,11,26,18,133.02
2017,11,26,19,128.78
2017,11,26,20,116.71
2017,11,26,21,107.26
2017,11,26,22,98.95
2017,11,26,23,95.13
2017,11,27,0,90.67
2017,11,27,1,91.57
2017,11,27,2,88.61
2017,11,27,3,105.2
2017,11,27,4,116.2
2017,11,27,5,117.48
2017,11,27,6,107.66
2017,11,27,7,97.27
2017,11,27,8,83.87
2017,11,27,9,74.58
2017,11,27,10,70.1
2017,11,27,11,64.7
2017,11,27,12,66.98
2017,11,27,13,75.92
2017,11,27,14,100.99
2017,11,27,15,117.66
2017,11,27,17,140.07
2017,11,27,19,136.31
2017,11,27,20,129.04
2017,11,27,21,121.18
2017,11,27,22,107.53
2017,11,27,23,109.74
2017,11,28,0,101.91
2017,11,28,1,95.83
2017,11,28,2,95.08
2017,11,28,3,111.67
2017,11,28,4,123.48
2017,11,28,5,121.63
2017,11,28,6,113.15
2017,11,28,8,81.06
2017,11,28,9,67.36
2017,11,28,10,60.98
2017,11,28,11,58.84
2017,11,28,12,55.86
2017,11,28,13,64.66
2017,11,28,14,84.93
2017,11,28,15,106.09
2017,11,28,16,131.55
2017,11,28,17,140.43
2017,11,28,18,145.98
2017,11,28,19,142.5
2017,11,28,20,132.23
2017,11,28,21,130.03
2017,11,28,23,105.54
2017,11,29,0,100.54
2017,11,29,1,99.35
2017,11,29,2,100.24
2017,11,29,3,112.24
2017,11,29,4,120.5
2017,11,29,5,115.52
2017,11,29,6,111.64
2017,11,29,7,86.75
2017,11,29,8,82.24
2017,11,29,9,72.02
2017,11,29,10,66.72
2017,11,29,11,60.44
2017,11,29,12,62.82
2017,11,29,13,75.25
2017,11,29,14,93.54
2017,11,29,15,110.29
2017,11,29,16,126.93
2017,11,29,17,135.73
2017,11,29,18,141.01
2017,11,29,19,145.62
2017,11,29,20,129.94
2017,11,29,21,108.56
2017,11,29,22,100.34
2017,11,29,23,100.48
2017,11,30,0,96.4
2017,11,30,1,98.14
2017,11,30,2,103.11
2017,11,30,3,110.62
2017,11,30,4,120.43
2017,11,30,5,121.27
2017,11,30,6,111.21
2017,11,30,7,100.26
2017,11,30,8,90.32
2017,11,30,9,78.51
2017,11,30,11,58.71
2017,11,30,12,63.62
2017,11,30,13,72.3
2017,11,30,14,94.81
2017,11,30,15,110.16
2017,11,30,16,116.57
2017,11,30,17,143.21
2017,11,30,19,133.7
2017,11,30,20,118.77
2017,11,30,21,114.57
2017,11,30,22,104.28
2017,11,30,23,102.18